customerid,systemloanid,loannumber,loanamount,totaldue,termdays,closeddate,referredby,Convert_creationdate,Convert_approved_date,Convert_firstduedate,Convert_firstrepaiddate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,Age
8a858eba5c884d2a015c9795b92e7801,301950591,2,10000,11500,15,27:03.0,No_referee,6/24/2017 14:52,6/24/2017 15:52,7/10/2017 0:00,7/6/2017 6:16,Savings,4.2513348,8.1488107,GT Bank,Permanent,Unknow,30
8a858eba5c884d2a015c9795b92e7801,301934921,1,10000,11500,15,19:22.0,No_referee,6/11/2017 14:47,6/11/2017 15:48,6/26/2017 0:00,6/22/2017 21:09,Savings,4.2513348,8.1488107,GT Bank,Permanent,Unknow,30
8a85893d53f104eb015410ce1d262cdd,301862500,9,20000,23400,30,24:48.0,No_referee,4/10/2017 12:54,4/10/2017 13:54,5/10/2017 0:00,5/9/2017 18:09,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301801299,6,15000,16600,15,04:00.0,No_referee,1/25/2017 6:25,1/25/2017 7:25,2/9/2017 0:00,2/8/2017 9:48,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301937660,11,40000,44000,30,19:15.0,No_referee,6/13/2017 18:40,6/13/2017 19:40,7/13/2017 0:00,7/7/2017 18:09,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301918221,10,15000,15750,15,04:13.0,No_referee,5/25/2017 15:08,5/25/2017 16:08,6/9/2017 0:00,6/8/2017 14:54,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301610941,1,8000,10400,30,03:44.0,No_referee,4/13/2016 18:17,4/13/2016 19:17,5/13/2016 0:00,5/10/2016 17:49,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301776898,5,20000,23800,30,06:58.0,No_referee,12/20/2016 7:22,12/20/2016 18:40,1/19/2017 0:00,1/18/2017 14:51,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301735285,3,15000,18375,30,17:43.0,No_referee,10/3/2016 18:08,10/3/2016 19:08,11/3/2016 0:00,11/1/2016 8:02,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301844079,8,20000,21800,15,21:27.0,No_referee,3/22/2017 12:30,3/22/2017 13:30,4/6/2017 0:00,4/5/2017 11:06,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301759164,4,15000,18350,30,40:53.0,No_referee,11/14/2016 21:25,11/14/2016 22:26,12/14/2016 0:00,12/13/2016 16:25,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301815805,7,20000,23600,30,41:23.0,No_referee,2/13/2017 7:29,2/13/2017 8:29,3/15/2017 0:00,3/15/2017 0:17,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a85893d53f104eb015410ce1d262cdd,301698837,2,10000,11500,15,07:30.0,No_referee,8/29/2016 10:15,8/29/2016 11:16,9/13/2016 0:00,9/12/2016 6:52,Savings,6.9593312,4.8262981,GT Bank,Permanent,Unknow,33
8a8589c1545181f3015481a6fb827b40,301800466,3,10000,11500,15,52:50.0,No_referee,1/24/2017 8:52,1/24/2017 9:52,2/8/2017 0:00,2/7/2017 21:37,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301922904,7,20000,24500,30,34:43.0,No_referee,5/31/2017 12:37,5/31/2017 13:37,6/30/2017 0:00,6/29/2017 8:24,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301778010,2,10000,11500,15,27:37.0,No_referee,12/21/2016 11:32,12/21/2016 12:32,1/5/2017 0:00,1/3/2017 23:12,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301844716,5,10000,11500,15,05:58.0,No_referee,3/23/2017 8:41,3/23/2017 9:42,4/7/2017 0:00,4/7/2017 0:50,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301831085,4,10000,11500,15,13:36.0,No_referee,3/3/2017 21:59,3/3/2017 22:59,3/20/2017 0:00,3/17/2017 19:58,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301617429,1,10000,11500,15,02:53.0,No_referee,5/5/2016 16:32,5/5/2016 17:33,5/20/2016 0:00,5/21/2016 16:35,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a8589c1545181f3015481a6fb827b40,301863655,6,20000,23800,30,37:21.0,No_referee,4/10/2017 21:57,4/10/2017 22:57,5/10/2017 0:00,5/8/2017 23:22,Savings,3.4179771,6.4411578,Diamond Bank,Self-Employed,Graduate,49
8a858e445add19b4015ae905c37c7b00,301860948,2,10000,13000,30,38:12.0,No_referee,4/9/2017 4:56,4/9/2017 5:57,5/9/2017 0:00,5/4/2017 16:23,Savings,5.6077613,6.2799374,GT Bank,Permanent,Unknow,41
8a858e445add19b4015ae905c37c7b00,301929705,4,20000,24500,30,18:51.0,No_referee,6/7/2017 8:26,6/7/2017 9:26,7/7/2017 0:00,7/5/2017 17:08,Savings,5.6077613,6.2799374,GT Bank,Permanent,Unknow,41
8a858e445add19b4015ae905c37c7b00,301842685,1,10000,13000,30,14:02.0,No_referee,3/20/2017 18:38,3/20/2017 19:38,4/20/2017 0:00,4/8/2017 8:58,Savings,5.6077613,6.2799374,GT Bank,Permanent,Unknow,41
8a858e445add19b4015ae905c37c7b00,301918372,3,10000,11000,15,40:59.0,No_referee,5/25/2017 18:19,5/25/2017 19:19,6/9/2017 0:00,6/3/2017 18:30,Savings,5.6077613,6.2799374,GT Bank,Permanent,Unknow,41
8a858ea555d9e6020155efaba6540a82,301836993,7,15000,18200,30,07:14.0,No_referee,3/13/2017 10:47,3/13/2017 11:47,4/12/2017 0:00,4/5/2017 9:52,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301722536,3,10000,11125,15,23:07.0,No_referee,9/21/2016 6:26,9/21/2016 7:26,10/6/2016 0:00,10/6/2016 8:07,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301757617,5,20000,23000,30,24:32.0,No_referee,11/11/2016 6:58,11/11/2016 7:58,12/13/2016 0:00,12/6/2016 9:09,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301898927,9,25000,28750,30,04:41.0,No_referee,5/10/2017 9:24,5/10/2017 10:25,6/9/2017 0:00,6/4/2017 19:54,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301867272,8,10000,12800,30,16:53.0,No_referee,4/13/2017 13:36,4/13/2017 14:36,5/15/2017 0:00,5/10/2017 8:01,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301799375,6,30000,36800,60,30:23.0,No_referee,1/23/2017 11:26,1/23/2017 12:26,2/22/2017 0:00,3/4/2017 9:15,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301927384,10,40000,48000,60,23:37.0,No_referee,6/5/2017 8:20,6/5/2017 9:20,7/5/2017 0:00,7/5/2017 4:43,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301748909,4,10000,12250,30,35:29.0,No_referee,10/24/2016 10:33,10/24/2016 11:33,11/23/2016 0:00,11/10/2016 16:20,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301681342,2,10000,13000,30,10:28.0,No_referee,8/15/2016 8:05,8/15/2016 9:05,9/14/2016 0:00,9/5/2016 11:55,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ea555d9e6020155efaba6540a82,301653921,1,8000,10400,30,40:01.0,No_referee,7/16/2016 15:44,7/16/2016 16:45,8/15/2016 0:00,8/9/2016 10:24,Other,7.9189432,4.6385243,Diamond Bank,Permanent,Graduate,48
8a858ee25b34d796015b380aa54b5f73,301854200,1,10000,13000,30,27:38.0,No_referee,4/4/2017 8:42,4/4/2017 9:42,5/4/2017 0:00,4/28/2017 12:12,Savings,7.037165,6.103195,Zenith Bank,Unknown,Unknow,28
8a858ee25b34d796015b380aa54b5f73,301883341,2,10000,13000,30,33:39.0,No_referee,4/28/2017 11:29,4/28/2017 12:29,5/30/2017 0:00,6/1/2017 12:23,Savings,7.037165,6.103195,Zenith Bank,Unknown,Unknow,28
8a858ee25b34d796015b380aa54b5f73,301923892,3,10000,13000,30,29:24.0,No_referee,6/1/2017 11:46,6/1/2017 12:46,7/3/2017 0:00,7/3/2017 16:19,Savings,7.037165,6.103195,Zenith Bank,Unknown,Unknow,28
8a858fda5c1bd1f7015c1be7f7450f37,301933768,2,10000,13000,30,32:28.0,No_referee,6/10/2017 11:26,6/10/2017 12:26,7/10/2017 0:00,7/10/2017 21:22,Savings,5.3130584,5.4129534,Fidelity Bank,Permanent,Unknow,29
8a858fda5c1bd1f7015c1be7f7450f37,301912847,1,10000,13000,30,14:07.0,No_referee,5/18/2017 16:29,5/18/2017 17:30,6/19/2017 0:00,6/8/2017 12:03,Savings,5.3130584,5.4129534,Fidelity Bank,Permanent,Unknow,29
8a858ec95afc0922015aff4399e77a12,301902685,4,20000,24500,30,46:24.0,No_referee,5/12/2017 8:02,5/12/2017 9:02,6/12/2017 0:00,6/13/2017 9:36,Savings,3.3527345,6.6040979,First Bank,Permanent,Unknow,48
8a858ec95afc0922015aff4399e77a12,301860487,2,10000,11500,15,40:40.0,No_referee,4/8/2017 13:04,4/8/2017 14:04,4/24/2017 0:00,4/24/2017 15:25,Savings,3.3527345,6.6040979,First Bank,Permanent,Unknow,48
8a858ec95afc0922015aff4399e77a12,301936942,5,20000,24500,30,29:32.0,No_referee,6/13/2017 8:50,6/13/2017 9:50,7/13/2017 0:00,7/10/2017 9:19,Savings,3.3527345,6.6040979,First Bank,Permanent,Unknow,48
8a858ec95afc0922015aff4399e77a12,301845488,1,10000,11500,15,13:25.0,No_referee,3/24/2017 8:02,3/24/2017 9:03,4/10/2017 0:00,4/8/2017 9:58,Savings,3.3527345,6.6040979,First Bank,Permanent,Unknow,48
8a858ec95afc0922015aff4399e77a12,301878965,3,10000,11500,15,33:53.0,No_referee,4/24/2017 15:47,4/24/2017 16:47,5/9/2017 0:00,5/10/2017 0:00,Savings,3.3527345,6.6040979,First Bank,Permanent,Unknow,48
8a858ffd5c8d343d015c8f02ce3004ad,301933329,1,10000,11500,15,40:48.0,No_referee,6/9/2017 22:54,6/9/2017 23:55,6/28/2017 0:00,6/27/2017 9:30,Savings,3.3786657,6.500765,Zenith Bank,Unknown,Unknow,39
8a858ffd5c8d343d015c8f02ce3004ad,301953187,2,10000,11500,15,02:33.0,No_referee,6/27/2017 8:54,6/27/2017 9:54,7/12/2017 0:00,7/12/2017 20:52,Savings,3.3786657,6.500765,Zenith Bank,Unknown,Unknow,39
8a85893d542e18bc0154379710d6562c,301740885,4,20000,22250,15,01:11.0,No_referee,10/10/2016 10:18,10/10/2016 11:18,10/25/2016 0:00,10/29/2016 0:39,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301835252,9,30000,36800,60,04:24.0,No_referee,3/10/2017 6:50,3/10/2017 7:50,4/10/2017 0:00,4/7/2017 6:49,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301807643,8,30000,34400,30,44:49.0,No_referee,2/1/2017 9:34,2/1/2017 10:34,3/3/2017 0:00,3/3/2017 20:29,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301889054,11,40000,44000,30,28:53.0,No_referee,5/4/2017 6:20,5/4/2017 7:20,6/5/2017 0:00,5/31/2017 20:18,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301771954,6,20000,23800,30,22:50.0,No_referee,12/10/2016 17:37,12/10/2016 18:38,1/9/2017 0:00,12/25/2016 9:07,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301800380,7,20000,21900,15,46:37.0,No_referee,1/24/2017 7:19,1/24/2017 8:20,2/8/2017 0:00,2/1/2017 8:31,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301858754,10,30000,34400,30,18:41.0,No_referee,4/7/2017 6:06,4/7/2017 7:06,5/8/2017 0:00,5/4/2017 7:03,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301636421,3,10000,11500,15,00:34.0,No_referee,6/22/2016 7:48,6/22/2016 8:48,7/11/2016 0:00,9/1/2016 9:44,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301612853,1,10000,13000,30,04:08.0,No_referee,4/21/2016 6:58,4/21/2016 7:58,5/23/2016 0:00,5/12/2016 12:37,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301623375,2,10000,11500,15,03:39.0,No_referee,5/21/2016 8:12,5/21/2016 9:13,6/6/2016 0:00,6/1/2016 1:10,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301923669,12,40000,44000,30,55:13.0,No_referee,6/1/2017 8:27,6/1/2017 9:27,7/3/2017 0:00,7/7/2017 17:45,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a85893d542e18bc0154379710d6562c,301753365,5,20000,22250,15,45:54.0,No_referee,11/2/2016 10:06,11/2/2016 11:06,11/17/2016 0:00,12/7/2016 14:30,Other,7.4261366,10.463302,First Bank,Permanent,Post-Graduate,43
8a858e695775665c015779a1a5cc1192,301753504,2,10000,13000,30,28:30.0,No_referee,11/2/2016 13:52,11/2/2016 14:52,12/2/2016 0:00,12/2/2016 23:13,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301931164,7,10000,13000,30,52:31.0,No_referee,6/8/2017 10:05,6/8/2017 11:06,7/10/2017 0:00,7/11/2017 9:42,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301816788,4,10000,13000,30,46:54.0,No_referee,2/14/2017 9:57,2/14/2017 10:57,3/16/2017 0:00,3/16/2017 19:31,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301842220,5,10000,13000,30,02:42.0,No_referee,3/20/2017 10:10,3/20/2017 11:10,4/19/2017 0:00,4/29/2017 17:47,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301917216,6,10000,11500,15,24:31.0,No_referee,5/24/2017 12:10,5/24/2017 13:11,6/9/2017 0:00,6/6/2017 20:14,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301784404,3,10000,13000,30,01:56.0,No_referee,12/30/2016 14:24,12/30/2016 15:24,1/30/2017 0:00,2/8/2017 16:46,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e695775665c015779a1a5cc1192,301732943,1,10000,13000,30,24:15.0,No_referee,9/30/2016 5:47,9/30/2016 6:47,10/31/2016 0:00,10/29/2016 3:09,Other,3.3075583,7.1122136,Access Bank,Self-Employed,Post-Graduate,31
8a858e9b5bcf8546015bd34d1f801a05,301922523,2,10000,13000,30,01:26.0,No_referee,5/31/2017 5:22,5/31/2017 6:22,6/30/2017 0:00,6/23/2017 9:51,Savings,3.3643317,6.547743,Skye Bank,Permanent,Unknow,34
8a858e9b5bcf8546015bd34d1f801a05,301889466,1,10000,13000,30,20:28.0,No_referee,5/4/2017 12:11,5/4/2017 13:11,6/5/2017 0:00,5/30/2017 21:10,Savings,3.3643317,6.547743,Skye Bank,Permanent,Unknow,34
8a858e9b5bcf8546015bd34d1f801a05,301949214,3,10000,13000,30,24:00.0,No_referee,6/23/2017 13:12,6/23/2017 14:12,7/24/2017 0:00,7/21/2017 15:13,Savings,3.3643317,6.547743,Skye Bank,Permanent,Unknow,34
8a85884e548fad6501549e6d40590168,301830372,8,20000,21900,15,33:20.0,No_referee,3/3/2017 4:08,3/3/2017 5:09,3/20/2017 0:00,3/27/2017 12:18,Savings,3.3538832,6.4825234,First Bank,Permanent,Graduate,33
8a85884e548fad6501549e6d40590168,301667043,4,10000,11125,15,37:34.0,No_referee,8/2/2016 6:55,8/2/2016 7:55,8/17/2016 0:00,9/29/2016 11:22,Savings,3.3538832,6.4825234,First Bank,Permanent,Graduate,33
8a85884e548fad6501549e6d40590168,301641603,3,10000,13000,30,12:21.0,No_referee,7/1/2016 8:08,7/1/2016 9:08,8/1/2016 0:00,7/27/2016 8:57,Savings,3.3538832,6.4825234,First Bank,Permanent,Graduate,33
8a85884e548fad6501549e6d40590168,301778009,6,30000,36800,60,12:37.0,No_referee,12/21/2016 11:32,12/21/2016 12:32,1/20/2017 0:00,1/26/2017 19:46,Savings,3.3538832,6.4825234,First Bank,Permanent,Graduate,33
