customerid,systemloanid,loannumber,loanamount,totaldue,termdays,closeddate,referredby,Convert_creationdate,Convert_approved_date,Convert_firstduedate,Convert_firstrepaiddate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,Age,Status
8a858e1158dc4d830158f7bde4f47ea7,301873260,7,30000,34400,30,12:16.0,No_referee,4/19/2017 11:35,4/19/2017 12:35,5/19/2017 0:00,5/19/2017 21:57,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,1
8a858e1158dc4d830158f7bde4f47ea7,301823683,4,20000,23800,30,51:33.0,No_referee,2/21/2017 20:32,2/21/2017 21:32,3/23/2017 0:00,3/22/2017 8:36,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,0
8a858e1158dc4d830158f7bde4f47ea7,301782950,2,10000,13000,30,25:28.0,No_referee,12/28/2016 16:00,12/28/2016 17:01,1/27/2017 0:00,1/25/2017 23:10,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,0
8a858e1158dc4d830158f7bde4f47ea7,301773722,1,10000,11500,15,55:00.0,No_referee,12/14/2016 14:13,12/14/2016 15:14,12/29/2016 0:00,12/27/2016 22:39,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,0
8a858e1158dc4d830158f7bde4f47ea7,301918096,8,30000,34500,30,17:43.0,No_referee,5/25/2017 13:04,5/25/2017 14:04,6/26/2017 0:00,6/24/2017 9:07,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,0
8a858e1158dc4d830158f7bde4f47ea7,301950626,9,30000,34500,30,33:54.0,No_referee,6/24/2017 15:15,6/24/2017 16:16,7/24/2017 0:00,7/24/2017 18:23,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,1
8a858e1158dc4d830158f7bde4f47ea7,301843867,5,20000,21900,15,01:28.0,No_referee,3/22/2017 7:55,3/22/2017 8:56,4/6/2017 0:00,4/6/2017 10:46,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,1
8a858e1158dc4d830158f7bde4f47ea7,301858351,6,20000,21900,15,04:51.0,No_referee,4/6/2017 17:38,4/6/2017 18:39,4/21/2017 0:00,4/19/2017 11:49,Savings,6.1780556,5.4257996,First Bank,Unknown,Unknow,32,0
8a858e185b4923b4015b4ae48d28646a,301905582,1,10000,11500,15,45:27.0,No_referee,5/13/2017 20:31,5/13/2017 21:44,5/30/2017 0:00,6/8/2017 17:35,Savings,3.3965242,6.6279429,GT Bank,Permanent,Unknow,32,1
8a858e185b4923b4015b4ae48d28646a,301954176,3,10000,11500,15,57:21.0,No_referee,6/28/2017 6:10,6/28/2017 7:11,7/13/2017 0:00,7/12/2017 10:47,Savings,3.3965242,6.6279429,GT Bank,Permanent,Unknow,32,0
8a858e185b4923b4015b4ae48d28646a,301933824,2,10000,11500,15,06:36.0,No_referee,6/10/2017 12:09,6/10/2017 13:09,6/28/2017 0:00,6/24/2017 13:56,Savings,3.3965242,6.6279429,GT Bank,Permanent,Unknow,32,0
8a858e345bd96da8015be6b9f8bc10c7,301916835,2,10000,13000,30,45:49.0,No_referee,5/24/2017 3:12,5/24/2017 4:12,6/23/2017 0:00,6/30/2017 8:35,Savings,3.8210848,7.3326277,GT Bank,Permanent,Unknow,31,1
8a858e345bd96da8015be6b9f8bc10c7,301896727,1,10000,11500,15,29:18.0,No_referee,5/9/2017 6:44,5/9/2017 7:44,5/25/2017 0:00,5/18/2017 15:14,Savings,3.8210848,7.3326277,GT Bank,Permanent,Unknow,31,0
8a858e4456ced8470156dc8f1f4038d3,301817710,5,20000,21900,15,47:04.0,No_referee,2/15/2017 13:30,2/15/2017 14:30,3/2/2017 0:00,2/25/2017 11:31,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,0
8a858e4456ced8470156dc8f1f4038d3,301878488,8,30000,34400,30,17:14.0,No_referee,4/24/2017 11:03,4/24/2017 12:03,5/24/2017 0:00,5/24/2017 16:02,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e4456ced8470156dc8f1f4038d3,301845779,7,30000,34400,30,56:17.0,No_referee,3/24/2017 13:45,3/24/2017 14:46,4/24/2017 0:00,4/24/2017 11:41,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e4456ced8470156dc8f1f4038d3,301826179,6,30000,34400,30,32:24.0,No_referee,2/25/2017 11:23,2/25/2017 12:23,3/27/2017 0:00,3/24/2017 14:17,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,0
8a858e4456ced8470156dc8f1f4038d3,301949674,10,40000,44000,30,06:14.0,No_referee,6/23/2017 18:55,6/23/2017 19:56,7/24/2017 0:00,7/25/2017 15:56,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e4456ced8470156dc8f1f4038d3,301796025,4,20000,23800,30,18:54.0,No_referee,1/18/2017 12:44,1/18/2017 13:44,2/17/2017 0:00,2/15/2017 14:03,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,0
8a858e4456ced8470156dc8f1f4038d3,301917661,9,30000,34500,30,35:56.0,No_referee,5/24/2017 21:45,5/24/2017 22:45,6/23/2017 0:00,6/23/2017 16:25,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e4456ced8470156dc8f1f4038d3,301761591,2,10000,13000,30,06:45.0,No_referee,11/19/2016 8:48,11/19/2016 9:48,12/19/2016 0:00,12/19/2016 16:51,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e4456ced8470156dc8f1f4038d3,301701399,1,10000,13000,30,39:40.0,No_referee,8/31/2016 18:16,8/31/2016 19:16,9/30/2016 0:00,9/24/2016 9:24,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,0
8a858e4456ced8470156dc8f1f4038d3,301776728,3,20000,23800,30,04:51.0,No_referee,12/19/2016 18:53,12/19/2016 19:53,1/18/2017 0:00,1/18/2017 12:49,Other,3.3022556,6.636865,UBA,Permanent,Unknow,42,1
8a858e5357d823010157d932443d28a3,301769628,3,10000,11500,15,58:00.0,No_referee,12/5/2016 16:04,12/5/2016 17:04,12/20/2016 0:00,12/20/2016 0:28,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301823070,8,30000,34400,30,24:33.0,No_referee,2/21/2017 9:05,2/21/2017 10:05,3/23/2017 0:00,3/23/2017 1:00,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301746324,1,10000,13000,30,39:25.0,No_referee,10/18/2016 19:11,10/18/2016 20:12,11/18/2016 0:00,11/18/2016 14:24,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301876572,10,30000,34400,30,42:39.0,No_referee,4/22/2017 7:33,4/22/2017 8:34,5/22/2017 0:00,5/18/2017 11:27,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,0
8a858e5357d823010157d932443d28a3,301810788,7,20000,21900,15,46:47.0,No_referee,2/6/2017 3:00,2/6/2017 4:01,2/21/2017 0:00,2/21/2017 0:21,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301943526,12,40000,44000,30,37:53.0,No_referee,6/19/2017 11:09,6/19/2017 12:09,7/19/2017 0:00,7/18/2017 10:27,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,0
8a858e5357d823010157d932443d28a3,301912919,11,30000,34500,30,51:04.0,No_referee,5/18/2017 18:07,5/18/2017 19:08,6/19/2017 0:00,6/19/2017 11:40,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301797435,6,20000,21900,15,04:13.0,No_referee,1/20/2017 10:02,1/20/2017 11:03,2/6/2017 0:00,2/6/2017 0:30,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301762556,2,10000,11500,15,25:57.0,No_referee,11/21/2016 15:04,11/21/2016 16:04,12/6/2016 0:00,12/5/2016 16:10,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,0
8a858e5357d823010157d932443d28a3,301845463,9,30000,34400,30,53:08.0,No_referee,3/24/2017 7:25,3/24/2017 8:25,4/24/2017 0:00,4/22/2017 6:37,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,0
8a858e5357d823010157d932443d28a3,301787052,5,20000,21900,15,47:55.0,No_referee,1/4/2017 13:11,1/4/2017 14:11,1/19/2017 0:00,1/19/2017 0:26,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e5357d823010157d932443d28a3,301777311,4,10000,11500,15,54:28.0,No_referee,12/20/2016 16:13,12/20/2016 18:14,1/4/2017 0:00,1/4/2017 0:24,Other,3.3526543,6.456209,First Bank,Self-Employed,Unknow,40,1
8a858e645755e62201576b58e3522081,301893833,2,10000,13000,30,20:35.0,No_referee,5/7/2017 12:31,5/7/2017 13:31,6/6/2017 0:00,6/12/2017 19:10,Other,3.3718018,6.5169394,UBA,Permanent,Unknow,38,1
8a858e645755e62201576b58e3522081,301874446,1,10000,11500,15,30:26.0,No_referee,4/20/2017 11:23,4/20/2017 12:24,5/5/2017 0:00,5/5/2017 0:33,Other,3.3718018,6.5169394,UBA,Permanent,Unknow,38,1
8a858e705668e16701567f1523211e5a,301760203,7,30000,34400,30,10:34.0,No_referee,11/16/2016 14:47,11/16/2016 15:47,12/16/2016 0:00,12/14/2016 14:55,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301773842,8,30000,34400,30,45:44.0,No_referee,12/14/2016 16:17,12/14/2016 17:17,1/13/2017 0:00,1/12/2017 17:30,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301743521,5,20000,22250,15,32:42.0,No_referee,10/13/2016 15:32,10/13/2016 16:32,10/28/2016 0:00,10/25/2016 19:17,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301750035,6,30000,32250,15,34:39.0,No_referee,10/26/2016 12:16,10/26/2016 13:16,11/10/2016 0:00,11/10/2016 1:19,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,1
8a858e705668e16701567f1523211e5a,301733094,4,20000,22250,15,31:36.0,No_referee,9/30/2016 8:20,9/30/2016 9:20,10/17/2016 0:00,10/10/2016 10:16,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301872588,12,40000,44800,30,09:32.0,No_referee,4/18/2017 18:31,4/18/2017 19:31,5/18/2017 0:00,5/16/2017 12:54,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301792732,9,30000,34400,30,34:40.0,No_referee,1/13/2017 11:45,1/13/2017 12:45,2/13/2017 0:00,2/12/2017 13:19,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301693264,2,10000,11500,15,08:50.0,No_referee,8/24/2016 12:39,8/24/2016 13:39,9/8/2016 0:00,8/30/2016 15:24,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301909661,13,40000,44000,30,44:55.0,No_referee,5/16/2017 13:36,5/16/2017 14:36,6/15/2017 0:00,6/19/2017 13:34,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,1
8a858e705668e16701567f1523211e5a,301943667,14,40000,44000,30,06:38.0,No_referee,6/19/2017 12:48,6/19/2017 13:49,7/19/2017 0:00,7/19/2017 7:56,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,1
8a858e705668e16701567f1523211e5a,301678754,1,10000,11500,15,15:41.0,No_referee,8/12/2016 14:09,8/12/2016 15:10,8/29/2016 0:00,8/16/2016 8:00,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301713739,3,10000,11500,15,57:51.0,No_referee,9/13/2016 15:09,9/13/2016 16:09,9/28/2016 0:00,9/23/2016 7:42,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,0
8a858e705668e16701567f1523211e5a,301839275,11,30000,34400,30,44:37.0,No_referee,3/16/2017 7:19,3/16/2017 8:20,4/17/2017 0:00,4/18/2017 16:29,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,1
8a858e705668e16701567f1523211e5a,301815798,10,30000,34400,30,41:30.0,No_referee,2/13/2017 7:24,2/13/2017 8:24,3/15/2017 0:00,3/15/2017 0:23,Savings,3.4296003,6.4530244,Diamond Bank,Permanent,Unknow,43,1
8a858e7d595026f8015951c0c4a03fae,301821269,4,20000,21900,15,25:45.0,No_referee,2/18/2017 18:35,2/18/2017 19:35,3/6/2017 0:00,3/2/2017 18:10,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e7d595026f8015951c0c4a03fae,301849357,7,30000,34400,30,47:35.0,No_referee,3/29/2017 13:38,3/29/2017 14:39,4/28/2017 0:00,4/28/2017 10:32,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,1
8a858e7d595026f8015951c0c4a03fae,301838900,6,20000,21900,15,29:03.0,No_referee,3/15/2017 15:21,3/15/2017 16:22,3/30/2017 0:00,3/29/2017 14:13,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e7d595026f8015951c0c4a03fae,301796388,2,10000,11500,15,36:45.0,No_referee,1/18/2017 21:23,1/18/2017 22:23,2/2/2017 0:00,1/26/2017 14:21,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e7d595026f8015951c0c4a03fae,301883320,8,30000,34400,30,35:08.0,No_referee,4/28/2017 11:13,4/28/2017 12:14,5/30/2017 0:00,5/31/2017 14:24,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,1
8a858e7d595026f8015951c0c4a03fae,301830153,5,20000,21900,15,18:11.0,No_referee,3/2/2017 17:32,3/2/2017 18:33,3/17/2017 0:00,3/15/2017 16:03,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e7d595026f8015951c0c4a03fae,301793190,1,10000,11500,15,19:57.0,No_referee,1/14/2017 7:48,1/14/2017 8:48,1/30/2017 0:00,1/18/2017 22:04,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e7d595026f8015951c0c4a03fae,301923013,9,30000,34500,30,33:14.0,No_referee,5/31/2017 14:06,5/31/2017 15:06,6/30/2017 0:00,6/30/2017 22:23,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,1
8a858e7d595026f8015951c0c4a03fae,301802950,3,10000,11500,15,57:15.0,No_referee,1/26/2017 14:01,1/26/2017 15:02,2/10/2017 0:00,2/2/2017 21:42,Savings,7.8876376,8.8351164,Diamond Bank,Permanent,Unknow,33,0
8a858e9b5a195041015a1a602a51519d,301841389,2,10000,11500,15,12:38.0,No_referee,3/18/2017 22:52,3/18/2017 23:52,4/3/2017 0:00,4/3/2017 14:57,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,1
8a858e9b5a195041015a1a602a51519d,301934962,5,20000,22250,15,25:07.0,No_referee,6/11/2017 15:22,6/11/2017 16:22,6/26/2017 0:00,6/23/2017 20:14,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,0
8a858e9b5a195041015a1a602a51519d,301925994,4,10000,11125,15,44:39.0,No_referee,6/3/2017 11:24,6/3/2017 12:24,6/19/2017 0:00,6/3/2017 12:34,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,0
8a858e9b5a195041015a1a602a51519d,301905797,3,10000,11500,15,32:12.0,No_referee,5/14/2017 3:42,5/14/2017 4:42,5/30/2017 0:00,6/1/2017 20:22,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,1
8a858e9b5a195041015a1a602a51519d,301949745,6,20000,22250,15,37:03.0,No_referee,6/23/2017 20:04,6/23/2017 21:04,7/10/2017 0:00,7/12/2017 0:00,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,1
8a858e9b5a195041015a1a602a51519d,301812280,1,10000,11500,15,31:59.0,No_referee,2/7/2017 22:19,2/7/2017 23:19,2/22/2017 0:00,2/21/2017 10:16,Savings,7.1694297,9.2174068,GT Bank,Unknown,Unknow,37,0
8a858eb05d2d1297015d313b03581809,301990473,1,10000,13000,30,08:28.0,No_referee,7/22/2017 8:52,7/22/2017 9:53,8/22/2017 0:00,7/27/2017 15:58,Savings,3.9809867,7.4239296,GT Bank,Permanent,Unknow,31,0
8a858ec75bfd77c4015c0d841520351c,301924078,2,10000,11500,15,26:12.0,No_referee,6/1/2017 14:33,6/1/2017 15:33,6/16/2017 0:00,6/16/2017 16:16,Savings,6.8004083,6.1594433,Union Bank,Permanent,Unknow,27,1
8a858ec75bfd77c4015c0d841520351c,301913125,1,10000,11500,15,21:14.0,No_referee,5/19/2017 3:30,5/19/2017 4:31,6/5/2017 0:00,6/1/2017 14:11,Savings,6.8004083,6.1594433,Union Bank,Permanent,Unknow,27,0
8a858ec75bfd77c4015c0d841520351c,301941567,3,10000,11500,15,24:12.0,No_referee,6/16/2017 21:49,6/16/2017 22:49,7/3/2017 0:00,6/27/2017 15:14,Savings,6.8004083,6.1594433,Union Bank,Permanent,Unknow,27,0
8a858edb5ad79cc6015ad7c9b29415c8,301930222,4,20000,24500,30,28:31.0,No_referee,6/7/2017 14:44,6/7/2017 15:44,7/7/2017 0:00,6/28/2017 20:18,Savings,3.479829,6.4489694,GT Bank,Permanent,Unknow,33,0
8a858edb5ad79cc6015ad7c9b29415c8,301895586,3,10000,13000,30,29:51.0,No_referee,5/8/2017 13:10,5/8/2017 14:10,6/7/2017 0:00,5/30/2017 13:19,Savings,3.479829,6.4489694,GT Bank,Permanent,Unknow,33,0
8a858edb5ad79cc6015ad7c9b29415c8,301839751,1,10000,11500,15,02:31.0,No_referee,3/16/2017 16:30,3/16/2017 17:31,4/3/2017 0:00,3/29/2017 10:47,Savings,3.479829,6.4489694,GT Bank,Permanent,Unknow,33,0
8a858edb5ad79cc6015ad7c9b29415c8,301854882,2,10000,13000,30,05:22.0,No_referee,4/4/2017 14:55,4/4/2017 15:56,5/4/2017 0:00,5/7/2017 16:50,Savings,3.479829,6.4489694,GT Bank,Permanent,Unknow,33,1
8a858eec5ca21dcb015ca2493dee1e2d,301940917,1,10000,13000,30,16:26.0,No_referee,6/16/2017 11:55,6/16/2017 12:56,7/17/2017 0:00,6/23/2017 11:06,Savings,3.259777,6.5532982,UBA,Permanent,Unknow,28,0
8a858ef75997d0180159a695b01e2c4c,301915330,3,10000,13000,30,44:47.0,No_referee,5/22/2017 10:50,5/22/2017 11:50,6/21/2017 0:00,6/21/2017 4:22,Savings,7.4401471,8.9494179,First Bank,Unknown,Unknow,43,1
8a858ef75997d0180159a695b01e2c4c,301945905,4,20000,24500,30,34:30.0,No_referee,6/21/2017 5:50,6/21/2017 6:51,7/21/2017 0:00,7/21/2017 13:24,Savings,7.4401471,8.9494179,First Bank,Unknown,Unknow,43,1
8a858ef75997d0180159a695b01e2c4c,301876252,2,10000,13000,30,00:15.0,No_referee,4/21/2017 19:57,4/21/2017 20:57,5/22/2017 0:00,5/22/2017 2:14,Savings,7.4401471,8.9494179,First Bank,Unknown,Unknow,43,1
8a858ef75997d0180159a695b01e2c4c,301843711,1,10000,13000,30,56:52.0,No_referee,3/21/2017 23:26,3/22/2017 0:26,4/21/2017 0:00,4/21/2017 0:21,Savings,7.4401471,8.9494179,First Bank,Unknown,Unknow,43,1
